feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target_growth
32.562,62.235,59.5,7.274,11.156,0.692,1.002,148.413
30.895,66.349,54.614,7.558,5.938,2.202,1.044,144.34
30.231,56.484,51.982,7.254,11.282,1.468,1.97,140.519
25.346,46.406,28.776,6.885,5.104,0.877,1.565,103.489
28.664,76.068,69.669,7.723,10.827,2.639,2.98,168.543
27.93,64.579,56.275,6.559,5.467,2.29,4.028,142.478
29.047,63.706,53.583,6.9,7.405,0.674,0.796,136.724
19.436,56.249,51.975,6.235,11.871,1.045,2.551,126.163
25.069,69.202,44.596,5.982,4.776,2.439,0.58,132.102
18.707,64.711,37.733,5.995,10.718,2.062,1.152,120.179
26.398,66.329,62.766,5.445,7.958,2.669,1.529,147.77
23.608,71.139,50.478,7.39,4.888,0.583,2.69,136.63
20.457,45.285,26.697,5.166,11.62,2.261,2.586,103.045
19.758,85.846,44.955,7.024,8.394,0.583,2.965,141.672
27.99,48.199,71.43,7.593,11.045,1.208,3.721,146.093
20.9,65.292,43.695,6.492,10.953,2.202,1.005,130.083
33.727,54.332,45.662,5.211,4.117,2.106,3.397,129.651
27.878,68.57,56.198,6.285,6.119,0.405,3.068,143.052
23.897,57.61,65.084,6.03,6.695,0.885,0.543,140.275
28.046,83.7,58.423,7.957,8.279,2.269,1.682,161.084
18.388,62.836,67.503,7.074,4.575,0.703,0.319,134.806
34.296,73.744,30.699,7.164,7.112,1.183,0.588,131.676
26.199,56.2,71.23,6.547,10.517,0.841,1.42,152.035
31.306,45.873,70.196,7.128,5.386,0.667,1.245,139.104
19.406,63.187,50.957,7.168,9.61,2.408,4.071,135.361
26.273,69.142,56.237,5.199,7.683,0.547,4.043,145.943
26.342,65.68,35.641,5.668,4.566,1.687,2.685,123.558
33.943,88.291,47.397,5.039,5.419,2.062,3.361,155.823
27.719,76.808,35.135,6.529,5.128,0.538,4.498,131.197
26.049,89.805,26.099,7.627,8.958,1.92,1.964,136.649
22.539,58.278,74.045,6.829,4.699,1.202,2.446,146.66
23.637,80.507,37.957,6.501,10.584,2.401,3.0,143.383
26.851,70.0,54.655,7.778,10.453,2.314,4.158,147.116
25.461,72.529,40.013,5.517,4.64,2.305,3.627,136.807
18.367,89.363,43.531,5.224,11.106,1.357,0.477,140.742
32.047,74.429,44.888,7.752,11.673,2.374,3.266,153.239
33.235,85.447,41.752,7.708,4.348,1.912,1.283,145.908
20.384,77.659,56.87,7.049,11.603,1.309,1.296,144.106
27.419,50.732,73.047,5.738,6.236,0.594,2.553,140.039
19.846,76.474,46.432,7.909,9.318,0.56,3.194,137.141
29.428,66.794,73.666,7.296,5.399,1.003,0.885,157.099
22.781,86.346,58.39,7.022,10.54,1.119,1.552,156.708
29.21,81.308,55.357,5.669,10.735,2.626,3.279,159.211
30.359,49.686,36.855,6.539,11.827,2.8,0.854,125.809
31.067,51.026,28.146,7.468,11.94,0.745,3.854,118.709
19.832,48.132,67.597,7.581,4.607,2.663,2.161,133.117
33.572,67.196,53.699,6.684,9.264,2.096,2.72,158.263
21.914,48.635,45.721,6.568,6.184,1.597,0.546,114.666
18.636,77.566,65.598,7.093,5.005,2.691,4.304,151.07
27.432,69.856,40.529,6.585,5.19,2.113,4.102,135.307
24.306,82.615,64.181,6.253,11.491,1.825,1.017,162.653
32.106,57.591,41.398,5.256,9.469,0.903,3.051,131.377
31.74,68.361,71.044,5.378,4.404,0.987,3.61,158.19
23.391,50.287,38.398,7.281,11.874,2.588,0.724,122.152
34.199,84.807,31.878,5.074,10.462,0.916,2.683,147.734
22.946,52.875,59.905,5.157,6.473,0.478,3.857,131.126
26.756,49.606,33.142,7.714,7.767,1.039,2.379,111.4
22.351,54.227,72.468,7.112,9.813,1.553,4.172,148.986
33.913,81.28,57.778,5.013,9.408,1.317,0.406,157.781
20.798,49.762,36.543,5.936,7.705,2.646,4.153,115.767
18.763,72.649,35.441,7.29,8.099,1.405,4.402,127.626
25.397,78.578,71.194,6.253,4.346,2.534,0.871,165.659
34.87,78.799,55.393,6.406,8.005,1.827,2.053,162.405
33.159,53.553,69.687,6.376,6.722,1.658,2.869,147.735
30.726,47.773,30.511,5.606,6.28,0.784,4.041,110.766
33.143,65.196,71.27,7.164,6.157,1.05,0.886,151.982
33.189,54.112,51.002,5.309,9.192,2.481,1.636,131.937
26.821,76.467,58.421,6.522,7.434,2.272,3.631,154.466
23.371,61.051,43.644,5.51,7.406,1.474,1.963,121.898
31.124,65.221,27.957,5.14,5.273,2.582,2.801,126.661
29.248,50.107,72.899,5.43,11.695,2.366,2.608,154.576
24.352,70.54,74.73,7.608,5.791,0.669,4.385,157.937
19.606,53.349,43.227,5.528,7.249,1.854,0.809,114.077
30.695,75.554,72.193,5.835,5.522,2.317,4.278,170.403
22.462,48.203,33.386,5.414,9.625,2.34,2.626,115.029
33.926,88.915,32.734,7.207,7.489,0.619,4.088,145.057
22.096,75.804,28.656,6.336,7.309,0.939,0.707,117.694
20.087,53.178,44.563,7.831,11.001,1.391,2.958,122.002
32.129,45.634,27.615,6.993,10.076,1.004,3.812,114.893
20.606,60.051,44.733,6.594,8.159,0.661,3.584,123.251
21.048,51.877,31.92,6.97,7.749,1.909,0.243,108.018
28.19,54.829,61.526,5.121,11.679,1.618,2.144,148.055
32.868,84.274,66.668,7.852,11.652,0.772,0.696,167.436
21.339,72.144,59.391,7.869,9.638,1.807,0.857,144.974
23.276,52.941,35.025,5.828,10.081,0.549,3.237,111.458
31.216,70.05,63.342,6.885,11.193,1.319,4.313,158.508
34.521,56.51,37.475,5.606,11.714,2.302,2.927,132.218
26.513,88.929,62.974,6.642,4.658,2.536,0.64,159.106
20.446,46.474,53.37,7.312,11.979,0.989,1.249,124.856
18.237,77.954,43.336,7.819,9.624,2.463,1.829,136.841
21.904,79.785,29.175,6.018,8.742,2.54,0.739,127.498
20.241,48.022,66.375,7.081,7.305,1.857,3.846,133.819
29.52,52.734,71.983,7.149,6.691,2.757,1.036,147.843
20.071,62.294,58.296,5.663,10.434,0.991,0.757,134.438
26.608,84.067,73.227,6.887,9.235,0.566,3.32,169.642
29.802,69.165,71.706,6.966,5.606,2.424,0.745,159.088
27.879,74.489,34.73,7.292,8.879,1.578,1.964,128.946
21.396,80.236,61.561,8.0,5.129,1.231,2.417,151.189
31.67,82.266,42.465,5.121,7.975,0.533,0.545,141.484
30.162,66.433,49.376,5.607,8.668,0.555,2.59,139.093
30.563,67.896,32.848,5.435,9.085,0.618,2.265,124.202
20.228,77.31,73.739,5.463,5.162,0.841,3.074,154.899
20.104,56.85,61.307,6.363,4.765,2.729,1.142,132.812
33.769,83.452,38.345,7.636,6.07,1.075,1.734,146.084
24.759,45.935,43.574,6.346,8.856,2.361,3.037,116.755
23.116,53.81,46.124,7.005,11.453,0.447,0.353,123.918
26.306,81.009,62.377,6.129,10.233,1.172,0.698,160.429
29.269,60.312,71.285,5.959,9.966,2.575,1.419,154.064
34.246,51.742,41.072,7.503,6.642,0.844,0.657,124.285
22.87,53.404,48.625,6.967,4.894,1.082,0.37,114.2
33.722,68.884,54.66,6.053,11.136,2.384,4.446,153.935
18.423,83.078,44.667,7.742,8.007,0.691,2.16,138.34
27.438,48.179,50.209,6.496,4.804,0.528,2.495,124.68
28.778,46.372,30.285,5.565,8.28,2.718,1.296,109.112
19.8,65.933,33.384,6.45,9.403,1.372,0.233,123.863
20.386,88.028,45.055,7.024,6.559,1.979,3.428,145.455
25.125,57.555,70.747,6.101,4.074,0.705,3.312,140.273
34.426,88.163,42.468,7.531,8.973,0.928,4.382,160.604
28.133,84.946,37.49,6.599,4.321,1.504,0.291,133.914
33.861,57.741,62.143,6.403,7.462,2.02,0.789,147.684
31.674,81.763,72.457,7.576,10.598,1.104,3.262,172.6
25.945,75.864,47.956,6.389,11.991,2.523,1.619,143.366
31.341,68.032,25.43,6.243,6.962,2.275,0.474,124.297
18.303,64.031,59.407,5.311,4.161,1.724,1.494,131.16
19.855,81.698,45.753,6.087,7.943,1.502,0.577,141.514
32.1,80.689,58.682,6.191,6.21,1.887,3.802,157.901
31.546,79.062,38.886,5.542,11.142,2.156,3.971,143.684
21.955,89.922,25.12,6.763,9.692,0.724,2.939,130.628
27.023,66.533,42.225,5.432,7.235,2.446,1.858,139.139
28.302,81.312,60.24,5.671,10.096,1.575,3.506,163.217
32.752,83.812,44.656,6.683,6.73,2.645,2.916,154.231
28.253,54.522,35.959,5.807,8.174,2.693,3.606,124.405
25.014,46.893,48.2,6.919,11.382,0.474,2.397,122.381
24.361,63.214,62.617,7.072,5.601,1.323,4.321,150.981
25.24,83.553,30.972,5.904,6.504,1.663,1.447,132.442
29.083,58.01,59.588,5.262,11.085,1.695,2.798,145.947
32.747,76.5,58.367,6.468,7.695,2.374,3.675,162.351
25.716,45.331,43.537,5.279,6.543,0.739,4.044,113.061
22.213,60.991,73.517,6.546,4.298,1.894,4.271,146.447
22.023,72.698,69.735,7.179,7.352,2.662,1.899,154.623
30.682,50.839,40.808,6.861,8.005,2.792,3.207,129.084
31.882,85.347,26.555,6.345,7.251,0.424,1.448,130.954
19.79,52.032,40.415,7.838,6.22,2.734,2.992,115.817
19.132,85.941,35.236,5.305,6.953,0.693,0.992,128.546
28.105,54.738,52.363,7.64,9.14,1.689,2.012,130.952
20.485,89.743,70.937,7.4,11.13,0.991,4.157,169.152
32.019,72.214,68.517,6.259,9.197,1.855,3.687,166.222
23.276,48.796,40.291,5.459,9.169,0.489,2.335,110.41
20.446,47.937,46.43,5.468,10.535,0.972,0.831,119.667
33.656,48.371,26.827,7.765,5.321,1.121,1.914,111.906
20.814,71.545,52.208,5.701,6.409,2.597,0.796,137.147
22.84,81.431,28.168,7.622,4.405,1.801,0.495,123.716
20.611,63.133,71.93,6.51,6.797,2.1,4.098,147.028
19.963,65.018,68.347,6.385,11.991,2.022,2.313,148.531
18.36,71.518,35.709,6.859,6.634,1.341,0.584,120.665
18.942,68.987,59.968,5.645,10.878,0.434,3.282,141.078
20.969,75.963,53.401,6.285,4.686,0.657,0.519,136.718
18.907,66.23,65.068,7.815,7.678,1.501,1.904,140.98
28.049,77.124,48.783,5.715,6.812,2.659,1.19,145.977
29.572,89.879,34.589,7.765,5.613,0.997,0.908,142.621
24.692,60.763,56.992,7.983,6.98,2.076,2.494,135.003
23.406,45.55,29.014,5.156,9.21,2.384,3.295,106.674
26.577,50.653,54.229,6.594,7.922,2.576,2.295,128.174
32.875,69.908,35.635,5.515,10.755,1.104,3.729,133.016
32.469,60.492,59.247,6.865,11.24,2.635,4.145,151.962
18.739,87.299,66.402,7.969,7.855,1.859,3.671,168.58
21.085,73.235,30.476,7.691,11.854,1.62,4.313,130.856
22.025,68.416,45.013,7.775,4.576,2.268,4.195,135.777
22.24,80.912,61.676,5.64,6.211,0.973,3.78,154.009
27.711,56.637,33.185,6.627,7.334,2.35,1.458,119.118
25.076,81.888,53.326,5.704,8.662,1.96,0.95,151.797
18.837,45.138,58.592,7.698,8.367,2.318,3.326,124.879
24.351,72.885,42.74,5.573,8.544,2.454,3.836,138.992
26.904,87.064,66.599,5.462,11.17,1.882,3.739,173.458
19.728,80.454,50.533,5.036,6.221,0.488,2.968,140.816
32.169,83.414,56.35,5.546,10.535,1.115,3.768,166.043
18.883,62.863,32.044,5.569,8.464,2.507,3.241,117.125
33.722,82.091,26.158,5.232,7.924,1.905,3.061,141.275
19.685,69.787,27.537,7.603,6.395,2.536,0.4,114.386
32.341,72.834,70.196,7.34,6.433,1.323,2.18,167.985
33.345,47.651,69.132,5.763,7.108,1.611,0.346,144.597
34.653,54.07,65.38,7.35,10.108,2.47,0.597,150.002
31.634,69.793,34.981,6.266,7.814,2.229,2.526,131.055
31.251,47.646,51.273,7.327,5.231,1.306,0.404,123.853
28.922,78.365,64.806,5.969,10.079,0.454,4.127,160.16
31.243,82.803,58.733,6.694,9.307,2.513,2.136,163.106
20.287,86.416,30.776,6.145,11.594,2.287,3.21,133.04
27.113,49.58,69.777,5.563,8.235,1.478,0.836,143.899
26.742,87.287,33.034,6.757,9.235,1.711,3.845,142.863
32.579,48.043,33.59,7.252,7.835,0.89,2.256,117.129
25.868,66.333,70.05,7.259,9.446,1.389,2.603,152.505
24.547,82.811,49.231,6.069,7.489,0.792,2.988,144.299
28.873,48.164,43.645,6.556,5.103,0.905,2.522,113.632
22.53,45.82,52.683,7.291,11.893,2.431,2.622,131.909
20.376,46.123,74.07,5.163,9.763,1.27,3.401,135.74
26.124,68.007,30.982,5.216,8.869,2.355,3.668,122.991
25.087,81.522,62.847,6.129,7.851,1.537,1.517,160.018
21.954,50.734,41.716,5.67,9.691,0.57,4.165,119.118
24.248,50.607,30.852,6.124,5.014,1.268,1.722,106.088
24.229,70.585,46.097,5.281,6.609,0.78,1.371,132.66
23.567,55.543,52.438,6.776,4.998,2.065,1.539,129.573
24.451,77.86,35.298,7.015,5.008,2.587,1.742,131.25
29.658,87.734,45.263,7.376,4.171,2.231,1.563,145.479
23.047,79.472,56.784,6.952,10.047,2.268,3.828,156.232
34.131,84.473,53.822,6.189,5.818,2.468,2.613,161.243
33.578,68.381,61.158,7.805,10.656,2.264,4.361,164.182
26.175,82.454,66.82,7.179,11.235,1.765,0.561,161.116
23.582,53.231,45.457,6.583,5.349,2.114,2.84,119.875
27.102,48.076,46.148,5.621,9.671,1.398,0.613,122.652
32.426,74.518,49.835,6.947,7.682,0.57,2.173,145.122
29.094,47.338,53.318,6.775,11.352,2.093,1.846,127.336
31.675,85.162,30.416,7.05,7.875,2.132,3.127,142.689
27.056,76.12,40.632,7.343,7.031,0.937,3.405,140.169
28.76,87.849,33.595,7.745,6.357,2.689,1.224,141.411
22.899,59.125,44.293,7.847,11.229,0.526,1.033,127.488
30.493,66.877,73.668,6.891,5.809,2.166,2.004,160.8
21.441,78.376,54.137,7.898,10.622,2.724,1.241,148.972
29.812,55.925,46.469,7.734,5.553,1.142,3.109,130.151
32.632,69.383,53.297,5.008,9.147,2.59,2.426,153.479
20.246,74.676,58.454,6.913,7.609,2.383,3.756,145.311
28.444,89.046,46.748,5.535,4.837,2.186,4.419,154.859
19.617,78.512,47.385,5.886,5.007,2.689,1.826,133.381
30.337,50.316,60.07,5.893,6.252,1.97,4.122,137.047
19.436,66.39,28.043,6.449,10.133,1.588,3.542,120.498
33.911,71.495,52.004,5.033,9.832,2.022,0.841,146.768
20.336,51.598,52.366,5.707,5.641,1.388,3.794,122.329
34.301,64.438,62.838,5.087,7.81,1.18,2.27,158.381
31.615,57.78,74.132,6.952,4.776,0.597,3.249,155.649
28.093,50.347,64.788,7.668,9.728,1.307,3.221,141.243
31.305,68.042,50.189,7.993,10.346,2.328,4.01,148.318
31.517,52.453,33.473,6.346,11.148,2.669,3.473,124.833
34.082,71.574,54.413,5.78,11.086,2.74,3.746,160.989
22.308,52.636,66.715,7.559,6.703,0.896,1.58,133.35
28.031,77.562,71.621,5.339,6.036,1.771,4.384,162.102
19.616,53.786,66.266,7.923,11.173,1.782,3.045,142.753
28.475,85.333,34.448,7.145,5.168,0.823,3.527,134.685
20.912,46.179,60.629,6.512,4.475,1.796,3.893,124.103
27.604,68.49,69.008,5.29,6.514,1.271,0.732,151.401
27.731,59.405,59.051,5.055,10.082,2.662,1.647,143.342
25.922,55.128,59.288,6.634,9.554,1.012,3.795,136.108
26.885,66.222,50.008,6.242,11.896,2.404,4.165,145.841
30.987,82.891,56.849,7.528,6.876,2.552,3.451,162.85
31.587,86.187,39.719,6.927,6.207,2.166,2.274,146.155
26.367,58.646,29.441,6.296,7.026,0.915,1.28,117.276
28.193,51.941,66.386,5.678,10.258,1.025,2.458,144.467
33.831,77.406,72.157,6.441,5.714,2.731,1.908,166.776
20.035,71.19,67.841,5.489,11.582,0.582,4.008,157.131
19.991,54.046,41.696,7.001,8.1,0.681,2.639,115.219
19.491,79.213,29.677,6.817,10.265,2.749,1.886,128.431
29.184,68.352,39.007,7.43,10.618,2.265,2.343,135.863
25.116,74.403,67.142,6.349,7.831,2.191,4.214,160.521
31.163,61.17,57.791,5.836,9.931,0.784,2.837,144.554
29.411,64.759,73.335,7.509,6.918,1.573,1.185,155.654
23.672,53.115,42.134,7.073,10.487,2.418,2.35,123.446
33.272,79.043,52.574,7.12,10.591,1.189,2.202,155.971
30.963,52.066,64.502,6.584,8.53,0.863,1.535,145.117
22.599,80.024,36.7,7.628,5.745,0.426,3.366,128.618
24.191,80.91,73.204,5.683,11.762,1.894,1.354,167.016
23.345,78.597,54.62,6.205,11.576,1.105,2.318,150.187
20.679,45.874,25.395,7.389,8.959,2.473,2.097,100.992
20.512,57.291,26.258,5.399,11.871,1.08,2.208,111.856
33.914,66.075,69.111,7.424,8.022,0.764,2.637,155.949
25.444,71.799,57.264,6.058,7.004,2.705,3.138,149.568
24.516,86.365,63.154,5.377,7.684,2.715,0.815,156.77
30.405,61.902,64.201,5.237,4.367,2.044,1.44,144.303
27.401,84.376,46.023,7.529,8.393,2.628,3.523,148.799
33.914,52.354,64.931,7.336,9.33,0.788,4.103,148.701
31.265,61.708,71.877,5.864,4.876,1.505,0.392,149.835
26.149,47.353,33.609,5.349,6.045,0.89,0.515,110.127
24.398,78.412,63.207,5.742,9.769,1.549,4.215,159.059
34.773,51.779,40.39,5.639,10.349,2.299,0.836,129.788
30.202,56.566,41.075,7.199,11.887,2.428,4.411,132.138
34.17,79.885,45.638,5.647,6.026,0.41,3.761,150.556
20.014,69.062,68.186,5.648,10.732,1.335,0.719,152.708
32.459,45.629,26.103,5.097,5.377,2.786,0.641,108.713
28.83,45.101,46.696,6.791,5.047,1.814,4.402,119.594
20.073,67.98,59.002,7.067,9.834,1.111,1.296,139.764
28.0,58.723,30.521,6.96,7.567,1.334,2.516,118.616
29.664,53.114,64.613,6.706,10.351,1.174,1.216,142.445
18.209,72.612,72.095,7.898,6.261,1.474,2.783,158.724
25.723,55.28,29.547,6.418,5.706,1.467,3.812,111.511
32.032,71.649,32.647,7.58,8.39,1.616,3.025,134.683
23.021,62.067,73.705,6.938,4.922,1.515,0.4,144.783
25.795,53.404,34.893,5.252,6.23,1.639,2.759,115.18
25.519,51.215,28.947,7.43,5.33,0.467,3.042,110.687
23.133,55.659,72.61,6.753,6.56,0.531,1.064,142.025
33.614,46.342,69.631,6.961,10.124,1.291,3.477,148.769
31.282,58.866,57.786,5.541,4.966,2.524,2.896,139.416
19.88,85.588,52.572,6.312,8.895,2.298,0.241,150.158
34.95,82.411,70.962,7.642,8.678,0.664,4.287,175.594
32.946,61.74,57.776,5.646,8.305,1.588,2.116,146.036
22.826,70.913,57.92,5.0,7.874,1.851,1.199,136.668
32.227,70.531,67.184,5.773,9.311,1.555,0.571,158.454
19.809,82.293,57.662,6.463,10.814,2.074,1.81,151.066
34.985,55.633,50.184,7.464,5.296,2.793,1.523,132.843
29.317,58.337,44.486,6.93,10.513,0.632,1.481,133.417
29.052,58.58,50.157,7.757,4.492,1.637,3.611,132.901
19.537,46.839,51.124,6.367,7.857,1.63,2.977,124.457
33.25,59.161,43.042,6.172,8.092,1.75,0.772,135.592
18.493,84.506,47.406,5.694,5.581,0.801,3.245,137.052
22.094,86.039,65.094,5.654,4.717,1.932,3.311,161.596
20.431,49.934,45.826,7.208,4.599,0.506,2.411,117.854
31.205,65.613,26.278,5.241,4.298,2.179,4.482,120.631
21.369,62.161,39.151,5.728,8.589,1.992,1.419,119.0
33.481,67.021,36.587,7.658,5.244,1.193,0.451,124.41
29.157,69.962,64.679,6.731,10.47,2.774,0.324,157.609
18.615,45.912,47.465,5.14,11.192,2.389,1.578,114.667
18.092,82.901,39.016,7.113,6.339,1.695,2.341,133.473
18.878,88.815,65.535,6.52,5.316,2.777,0.536,155.344
28.301,74.403,25.961,7.564,7.277,2.392,2.633,125.705
31.625,74.72,33.713,7.047,11.053,0.731,4.074,138.014
22.055,68.759,66.348,5.013,7.199,1.819,3.627,145.832
32.44,60.042,52.533,5.617,4.867,1.794,3.092,137.51
18.973,51.704,63.682,5.774,11.877,1.967,3.045,134.631
31.616,71.283,66.909,7.107,7.997,2.658,3.34,162.701
33.773,47.022,72.098,6.528,6.739,1.581,2.325,148.003
31.126,82.103,28.171,7.242,11.149,0.586,1.928,134.664
29.868,63.941,64.962,6.539,11.419,1.55,1.519,156.403
32.246,63.664,60.438,5.982,7.974,2.291,0.628,148.202
18.683,59.723,35.351,5.311,6.454,1.261,2.617,116.296
